,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
364,Ohio,Stark,2789592.0
365,Arkansas,Conway,2789042.0
366,Texas,Carson,2739212.0
367,Montana,Fallon,2738197.0
368,Texas,Eastland,2693437.0
369,North Dakota,McLean,2670241.0
370,West Virginia,Webster,2659749.0
371,Oklahoma,Pittsburg,2650659.0
372,Texas,Shackelford,2647666.0
373,New Mexico,Union,2628325.0
374,Montana,Sweet Grass,2615838.0
375,California,Solano,2579653.0
376,Alabama,Talladega,2556830.0
377,New Jersey,Somerset,2552310.0
378,Texas,Jasper,2541526.0
379,California,San Diego,2539089.0
380,Texas,Caldwell,2503068.0
381,Texas,Schleicher,2502835.0
382,Illinois,White,2491019.0
383,Texas,Archer,2481630.0
384,North Carolina,Mitchell,2478836.0
385,Nevada,Washoe,2474801.0
386,New Mexico,Chaves,2424929.0
387,Louisiana,Assumption,2424387.0
388,Colorado,Jefferson,2420028.0
389,Vermont,Rutland,2402932.0
390,Idaho,Custer,2398612.0
391,Ohio,Wayne,2398242.0
392,Oklahoma,Le Flore,2386126.0
393,Washington,King,2357362.0
394,Kentucky,Bell,2356468.0
395,Colorado,Delta,2347169.0
396,Georgia,Twiggs,2336237.0
397,Oklahoma,Creek,2316674.0
398,California,Sacramento,2306996.0
399,Indiana,Pike,2299827.0
400,Texas,Comal,2295791.0
401,Illinois,Macoupin,2291067.0
402,Washington,Lewis,2274336.0
403,Arkansas,Cleburne,2266756.0
404,Texas,Waller,2257352.0
405,West Virginia,Barbour,2246907.0
406,Montana,Silver Bow,2240323.0
407,West Virginia,Upshur,2223579.0
408,Ohio,Muskingum,2214741.0
409,Alabama,Shelby,2200464.0
410,Missouri,Reynolds,2195490.0
411,Arizona,Graham,2189638.0
412,Illinois,Williamson,2182388.0
413,West Virginia,Taylor,2173200.0
414,Texas,Angelina,2148305.0
415,Colorado,Yuma,2144812.0
416,Louisiana,Evangeline,2139083.0
417,Kentucky,Ohio,2135566.0
418,Colorado,Larimer,2130605.0
419,Illinois,Franklin,2129289.0
420,Louisiana,Beauregard,2119685.0
421,Texas,Guadalupe,2115367.0
422,Kansas,Ellis,2102744.0
423,Florida,Hillsborough,2096843.0
424,Kansas,Grant,2082025.0
425,Minnesota,Hennepin,2080498.0
426,Ohio,Portage,2070392.0
427,Georgia,Jefferson,2054609.0
428,Colorado,Douglas,2049799.0
429,Ohio,Cuyahoga,2048812.0
430,West Virginia,Clay,2038997.0
431,Georgia,Washington,2037067.0
432,Texas,Val Verde,2003936.0
433,California,Alameda,1996017.0
434,Idaho,Kootenai,1980892.0
435,Texas,Austin,1956669.0
436,Texas,Titus,1947138.0
437,Arkansas,Columbia,1937616.0
438,North Dakota,Bowman,1935127.0
439,Texas,Hardeman,1927155.0
440,Mississippi,Jasper,1924238.0
441,Pennsylvania,Lancaster,1915568.0
442,Kansas,Seward,1912476.0
443,New York,Rockland,1910341.0
444,Oklahoma,Seminole,1910182.0
445,Nevada,Clark,1904412.0
446,Florida,Hardee,1890688.0
447,Wyoming,Laramie,1879004.0
448,Kansas,Finney,1878955.0
449,Montana,Musselshell,1864737.0
450,Oklahoma,Grant,1863715.0
451,Texas,Aransas,1849578.0
452,California,Butte,1842675.0
453,Oklahoma,Major,1842063.0
454,Kansas,Barton,1841862.0
455,Tennessee,Montgomery,1840076.0
456,Texas,Edwards,1837871.0
457,Pennsylvania,York,1835996.0
458,Arizona,Mohave,1834927.0
459,Ohio,Mahoning,1823571.0
460,Colorado,Boulder,1821028.0
461,Kansas,Sedgwick,1818579.0
